,ID,Title,Área industrial,Nombre empresa,Logotipo,Descripción empresa,Descripción corta empresa,Sector,Actividad,Dirección,Nave,Código Postal,Página web,Email,Teléfono,CIF,CNAE,Enlace Street View,Taxonomía,empresa_mostrar_mapa_lat,empresa_mostrar_mapa_lng
no esta,10122,Edesa Electrolux Fagor Indesit,Polígono Industrial de Candina,Edesa Electrolux Fagor Indesit,,,Servicio Reparación Electrodomésticos,Reparación,Electrodomésticos,Av. Parayas - PI CANDINA,S/N,39011,,,942222704,,,,,,
,10123,Hidrodiselec SA,Polígono Industrial de Candina,Hidrodiselec SA,,,Tienda de electricidad,Almacén,Electricidad,C/ Rio Pas - PI CANDINA,8,39011,,admon@diselec.es,942347777,A39335278,Alquiler de bienes inmobiliarios por cuenta propia,,,,
,10124,Honda,Polígono Industrial de Candina,Honda,,,Concesionario de automóviles en Santander,Concesionario,Automóviles,C/ Peña Bejo - PI CANDINA,2,39011,,gerencia.tecnocas@hondared-auto.com,942336022,H3929,Venta de automóviles y vehículos de motor ligeros,,,,
,10125,"Calvo & Salcines, S.A. Cereales Y Piensos",Polígono Industrial de Candina,"Calvo & Salcines, S.A. Cereales Y Piensos",,,,,,Av. Parayas - PI CANDINA,S/N,39011,,cys@calvoysalcines.com,942 33 79 90,A39003744,comercio de cereales legumbres harina y todo producto destinado a la,,,,
,10145,Diprimar S.A.,PI CAMPON,Diprimar S.A.,,,Distribuidor de cerveza,Almacén,Bebidas,Barrio El Castro - PI CAMPON,S/N,39011,,atencionclientesweb@diprimar.com,942331822,A39009683,Comercio al por mayor de bebidas,,,,
,10146,Autos Raúl,PI CAMPON,Autos Raúl,,,Concesionario de automóviles usados en Santander,Concesionario,Automóviles,Barrio El Castro - PI CAMPON,32-A,39011,,autos_raul@hotmail.com,670753007,B39775929,Venta de automóviles y vehículos de motor ligeros,,,,
,10147,Finca Tablanca,PI CAMPON,Finca Tablanca,,,"Elegante bodega con venta y distribución de vino, bebidas espirituosas, productos gourmet y cestas de navidad",Almacén,Bebidas,Barrio El Castro - PI CAMPON,20-F,39011,,pedidos@fincatablanca.com,645874746,A28797777,Comercio al por mayor de bebidas,,,,
,10148,Das Welt Auto Parte Automóviles,PI CAMPON,Das Welt Auto Parte Automóviles,,,Concesionario de automóviles usados en Santander,Concesionario,Automóviles,Barrio El Castro - PI CAMPON,20,39011,,administracionnvw@parteautomoviles.es,942949474,B39318076,Venta de automóviles y vehículos de motor ligeros,,,,
,10149,Marmolería El Campón S.L.,PI CAMPON,Marmolería El Campón S.L.,,,Tienda de encimeras en Santander,Marmolería,,Barrio El Castro - PI CAMPON,NAVE 22,39011,,info@marmoleriaelcampon.es,942341299 / 651930550,B39547930,"Corte, tallado y acabado de la piedra",,,,
,10150,Parte Automóviles,PI CAMPON,Parte Automóviles,,,Concesionario automóviles,Concesionario,Automóviles,Barrio El Castro - PI CAMPON,20,39011,,administracionnvw@parteautomoviles.es,942949474,B39318076,Venta de automóviles y vehículos de motor ligeros,,,,
no esta,10151,Electricidad Campos,PI CAMPON,Electricidad Campos,,,Electricista,Oficios / Construcción,Electricista,Barrio El Castro - PI CAMPON,"22, NAVE 7",39011,,info@electricidadcampos.es,942354347,A39044516,Instalaciones eléctricas,,,,
,10152,Talleres Motorinsa,PI CAMPON,Talleres Motorinsa,,,Taller mecánico,Taller,Automóviles,Barrio El Castro - PI CAMPON,"22, NAVE 7",39011,,,942346790,,,,,,
,10153,A. Menocal,PI CAMPON,A. Menocal,,,Empresa de autobuses en Santander,Transporte,Autobuses,Barrio El Castro - PI CAMPON,22-D,39011,,autobuses@amenocal.com,942342701 / 942343780,B39270897,Otros tipos de transporte terrestre de pasajeros n.c.o.p.,,,,
